target,n_train,n_val,rmse,mae,r2,kendall_tau,kendall_tau_pvalue,split_method,model_family,cv_iter,fold,comparison_label
HLM,2999,741,0.4362177481120296,0.3328190924918746,0.5261283085562333,0.5559041418877652,3.4057568522120144e-113,Butina,RF_ECFP4,3,1,HLM_RF_ECFP4_Butina
MLM,2999,741,0.4585287411355258,0.3424628771487222,0.4826797288974076,0.5156861029659917,6.071731460816829e-98,Butina,RF_ECFP4,3,1,MLM_RF_ECFP4_Butina
HLM,2968,772,0.4349194558011668,0.3263284577572237,0.5650577682389601,0.5751109202917508,8.471593516413796e-126,Butina,RF_ECFP4,3,2,HLM_RF_ECFP4_Butina
MLM,2968,772,0.4863950539206485,0.3656414941041943,0.6725089354735438,0.6218577926202555,3.2218264899987225e-147,Butina,RF_ECFP4,3,2,MLM_RF_ECFP4_Butina
HLM,2999,741,0.486851393881313,0.3673480443497833,0.444144038269503,0.4832071954230993,5.498535353471303e-86,Butina,RF_ECFP4,3,3,HLM_RF_ECFP4_Butina
MLM,2999,741,0.4639543115771933,0.3467856181734347,0.5438445733371775,0.5121919639189134,1.2670722927915386e-96,Butina,RF_ECFP4,3,3,MLM_RF_ECFP4_Butina
HLM,2996,744,0.424619785178646,0.3231877079597051,0.4840388585858782,0.5156089133261701,5.00988220428101e-98,Butina,RF_ECFP4,3,4,HLM_RF_ECFP4_Butina
MLM,2996,744,0.4433631660309712,0.3291020640478935,0.5143536743060024,0.5106330626667127,1.8700941603713099e-96,Butina,RF_ECFP4,3,4,MLM_RF_ECFP4_Butina
HLM,2994,746,0.4612165455274734,0.3372824628315345,0.4915058220072142,0.5411636900284265,4.577297775527372e-108,Butina,RF_ECFP4,4,0,HLM_RF_ECFP4_Butina
MLM,2994,746,0.4954372219131067,0.3685028975287766,0.5672641758125957,0.536282910529332,1.9339673507560072e-106,Butina,RF_ECFP4,4,0,MLM_RF_ECFP4_Butina
HLM,2990,750,0.4454883744360821,0.3371124241386801,0.4656447271300181,0.5007411214198139,3.1194368213947147e-93,Butina,RF_ECFP4,4,1,HLM_RF_ECFP4_Butina
MLM,2990,750,0.4602364568457611,0.3297692479855728,0.5637423068346326,0.5149364796186157,8.591241205427754e-99,Butina,RF_ECFP4,4,1,MLM_RF_ECFP4_Butina
HLM,2994,746,0.4466525229066438,0.3353810645866431,0.4515801148777119,0.5038751593526711,6.361264466048945e-94,Butina,RF_ECFP4,4,2,HLM_RF_ECFP4_Butina
MLM,2994,746,0.4782906728984154,0.365565385913582,0.591925145134444,0.5489432397852653,2.0504584874572896e-111,Butina,RF_ECFP4,4,2,MLM_RF_ECFP4_Butina
HLM,2989,751,0.4350349280129704,0.3263577905697513,0.5449416475580137,0.5512144062090482,1.2819346448691927e-112,Butina,RF_ECFP4,4,3,HLM_RF_ECFP4_Butina
MLM,2989,751,0.4563216865209812,0.3441201031992926,0.5423036154898433,0.5467812165372787,2.547591601062881e-111,Butina,RF_ECFP4,4,3,MLM_RF_ECFP4_Butina
HLM,2993,747,0.4584540507370856,0.3423879170516681,0.4722563215526467,0.5194712787365213,6.726989818061301e-100,Butina,RF_ECFP4,4,4,HLM_RF_ECFP4_Butina
MLM,2993,747,0.5003038040491051,0.3651716721860205,0.5441158811033812,0.5349852483373131,4.504578877423791e-106,Butina,RF_ECFP4,4,4,MLM_RF_ECFP4_Butina
